Name,AdmArea,District,Address,PublicPhone,SeatsCount,Longitude_WGS84,Latitude_WGS84
Goodman,Южный административный округ,Даниловский район,"Большая Тульская улица, дом 13",нет телефона,140,37.6220674461695450,55.7086983559433410
Бургер Кинг,Южный административный округ,Даниловский район,"Большая Тульская улица, дом 13",(495) 644-44-01,10,37.6220674461695450,55.7086983559433410
Ресторан «Village kitchen»,Центральный административный округ,Пресненский район,"Малая Бронная улица, дом 10, строение 1",(499) 344-01-06,60,37.5966636227127180,55.7607277189358970
Глобал Аппетат,Южный административный округ,Даниловский район,"Большая Тульская улица, дом 13",(495) 544-58-92,80,37.6220674461695450,55.7086983559433410
Ресторан «Барракуда»,Центральный административный округ,Пресненский район,"Садовая-Кудринская улица, дом 24, сооружение 1",(495) 697-62-26,64,37.5885660000000000,55.7629410000000000
Вкус мира,Новомосковский административный округ,поселение Московский,"Киевское шоссе, 22-й километр, домовладение 4, строение 1",(495) 937-97-75,190,37.4417360000000000,55.6341510000000000
Бразерс и Компания,Новомосковский административный округ,поселение Сосенское,"Калужское шоссе, 22-й километр, дом 10, сооружение 1",нет телефона,50,37.4903200000000000,55.6029800000000000
Чайхона № 1,Центральный административный округ,Тверской район,"Новослободская улица, дом 16",(499) 973-13-64,343,37.5993527467662360,55.7817897326965590
Ресторан «Кладовая»,Центральный административный округ,Пресненский район,"Большой Козихинский переулок, дом 4",(495) 766-05-78,38,37.5986367856582360,55.7620269288365830
Пиццерия,Северо-Восточный административный округ,Останкинский район,"улица Академика Королёва, дом 10",(495) 615-30-00,80,37.6198720000000000,55.8234140000000000
Ресторан,Центральный административный округ,Пресненский район,"Большой Патриарший переулок, дом 12, строение 1",(495) 122-00-44,60,37.5933874359765740,55.7632526246267370
Оксана,Новомосковский административный округ,поселение Московский,"Киевское шоссе, 22-й километр, домовладение 4, строение 1",(926) 690-36-32,270,37.4417360000000000,55.6315100000000000
Ресторан «Рецептор»,Центральный административный округ,Пресненский район,"Большой Козихинский переулок, дом 10",(495) 626-68-16,60,37.5973987638179710,55.7628697432405640
Ресторан «Иван»,Центральный административный округ,Пресненский район,"Шмитовский проезд, дом 5",(909) 938-60-69,42,37.5547149235813080,55.7580191937900550
НИКО ПЛАЗА,Новомосковский административный округ,поселение Московский,"Киевское шоссе, 22-й километр, домовладение 4, строение 1",(495) 998-36-72,60,37.4413860000000000,55.6341760000000000
White Rabbite,Центральный административный округ,район Арбат,"Смоленская площадь, дом 3",(495) 782-62-62,150,37.5812599845118380,55.7475322677391530
Беверли Хилз Дайнер,Центральный административный округ,Басманный район,"улица Покровка, дом 10, строение 2",(495) 600-48-35,120,37.6441816513647610,55.7589993082320350
Ресторан «АУРУ»,Южный административный округ,Даниловский район,"улица Ленинская Слобода, дом 26",(916) 535-17-88,40,37.6543358293364390,55.7100160825560740
Макдональдс,Новомосковский административный округ,поселение Сосенское,"Калужское шоссе, 22-й километр, дом 10",нет телефона,50,37.4903200000000000,55.6029800000000000
Ресторан Дом 8А,Северный административный округ,район Сокол,"улица Алабяна, дом 8А",(499) 198-17-65,80,37.5056139095072040,55.8011585451431390
Изысканная Пища,Новомосковский административный округ,поселение Сосенское,"Калужское шоссе, 22-й километр, дом 10",нет телефона,30,37.4903200000000000,55.6029800000000000
Хинкали Хаус,Южный административный округ,район Братеево,"Паромная улица, дом 7, корпус 5",(925) 189-44-04,48,37.7624305905369510,55.6374560525280300
Веста,Новомосковский административный округ,поселение Сосенское,"Калужское шоссе, 22-й километр, дом 10",нет телефона,30,37.4903200000000000,55.6029800000000000
Ресторан «Наршараб»,Центральный административный округ,Пресненский район,"улица Литвина-Седого, дом 10, строение 2",(495) 003-17-76,50,37.5388620000000000,55.7620290000000000
СупВок,Новомосковский административный округ,поселение Сосенское,"Калужское шоссе, 22-й километр, дом 10",нет телефона,35,37.4903200000000000,55.6029800000000000
АмРест,Новомосковский административный округ,поселение Сосенское,"Калужское шоссе, 22-й километр, дом 10",нет телефона,30,37.4903200000000000,55.6029800000000000
БУРГЕР РУС,Новомосковский административный округ,поселение Сосенское,"Калужское шоссе, 22-й километр, дом 10",нет телефона,42,37.4903200000000000,55.6029800000000000
Дольче фреддо,Новомосковский административный округ,поселение Сосенское,"Калужское шоссе, 22-й километр, дом 10",нет телефона,28,37.4903200000000000,55.6029800000000000
Чайхана Пиала,Северо-Западный административный округ,район Куркино,"Новокуркинское шоссе, дом 1",(495) 230-00-52,60,37.4063160000000000,55.8853270000000000
Коте Азур,Центральный административный округ,Тверской район,"Новослободская улица, дом 23",(495) 780-40-00,125,37.5980471251085500,55.7813353270554870
Система Бит-2000,Новомосковский административный округ,поселение Сосенское,"Калужское шоссе, 22-й километр, дом 10",нет телефона,50,37.4903200000000000,55.6029800000000000
Плаза Инвест,Новомосковский административный округ,поселение Сосенское,"Калужское шоссе, 22-й километр, дом 10",нет телефона,150,37.4903200000000000,55.6029800000000000
LUX,Юго-Западный административный округ,Обручевский район,"Ленинский проспект, дом 109",(495) 988-51-52,40,37.5112978768212460,55.6637832242678100
Ресторан Макдоналдс,Юго-Западный административный округ,район Черёмушки,"Профсоюзная улица, дом 61А",(495) 727-34-13,30,37.5429810766136070,55.6554933751938140
Ростикс,Юго-Западный административный округ,район Черёмушки,"Профсоюзная улица, дом 61А",(495) 727-34-13,15,37.5429810766136070,55.6554933751938140
